[14:04:07] [INFO] received Windows console close event; shutting log-core down
[14:06:11] [INFO] received Windows console close event; shutting log-core down
[14:38:45] [INFO] received Windows console close event; shutting log-core down
[14:42:57] [INFO] received Windows console close event; shutting log-core down
[14:43:09] [INFO] received Windows console close event; shutting log-core down
[14:47:20] [INFO] received Windows console close event; shutting log-core down
[14:48:04] [INFO] received Windows console close event; shutting log-core down
[14:48:15] [INFO] received Windows console close event; shutting log-core down
[14:48:52] [INFO] received Windows console close event; shutting log-core down
[14:53:26] [INFO] received Windows console close event; shutting log-core down
[14:54:24] [INFO] received Windows console close event; shutting log-core down
[15:48:27] [INFO] received Windows console close event; shutting log-core down
[15:52:18] [INFO] received Windows console close event; shutting log-core down
[15:53:03] [INFO] received Windows console close event; shutting log-core down
[16:41:24] [INFO] received Windows console close event; shutting log-core down
[16:41:25] [INFO] received Windows console close event; shutting log-core down
[16:41:30] [INFO] received Windows console close event; shutting log-core down
[16:51:04] [INFO] received Windows console close event; shutting log-core down
[16:54:10] [INFO] received Windows console close event; shutting log-core down
[16:58:00] [INFO] received Windows console close event; shutting log-core down
[16:59:35] [INFO] received Windows console close event; shutting log-core down
[17:04:00] [INFO] received Windows console close event; shutting log-core down
[17:05:45] [INFO] received Windows console close event; shutting log-core down
[17:11:59] [INFO] received Windows console close event; shutting log-core down
[17:15:25] [INFO] received Windows console close event; shutting log-core down
[17:20:16] [INFO] received Windows console close event; shutting log-core down
[17:24:34] [INFO] received Windows console close event; shutting log-core down
[17:25:39] [INFO] received Windows console close event; shutting log-core down
[17:27:08] [INFO] received Windows console close event; shutting log-core down
[17:28:38] [INFO] received Windows console close event; shutting log-core down
[17:30:44] [INFO] received Windows console close event; shutting log-core down
[17:31:23] [INFO] received Windows console close event; shutting log-core down
[17:32:56] [INFO] received Windows console close event; shutting log-core down
[17:34:01] [INFO] received Windows console close event; shutting log-core down
[18:26:09] [INFO] received Windows console close event; shutting log-core down
[18:49:13] [INFO] received Windows console close event; shutting log-core down
[19:13:46] [INFO] received Windows console close event; shutting log-core down
[19:25:06] [INFO] received Windows console close event; shutting log-core down
[20:16:16] [INFO] received Windows console close event; shutting log-core down
[20:47:06] [INFO] received Windows console close event; shutting log-core down
[21:17:27] [INFO] received Windows console close event; shutting log-core down
[21:25:10] [INFO] received Windows console close event; shutting log-core down
[22:17:50] [INFO] received Windows console close event; shutting log-core down
[22:21:13] [INFO] received Windows console close event; shutting log-core down
[23:01:32] [INFO] received Windows console close event; shutting log-core down
[23:03:36] [INFO] received Windows console close event; shutting log-core down
[23:06:34] [INFO] received Windows console close event; shutting log-core down
[23:09:13] [INFO] received Windows console close event; shutting log-core down
[23:12:37] [INFO] received Windows console close event; shutting log-core down
[23:18:52] [INFO] received Windows console close event; shutting log-core down
[01:20:12] [INFO] received Windows console close event; shutting log-core down
[01:41:01] [INFO] received Windows console close event; shutting log-core down
[01:55:46] [INFO] received Windows console close event; shutting log-core down
[11:29:24] [INFO] received Windows console close event; shutting log-core down
[12:30:41] [INFO] received Windows console close event; shutting log-core down
[12:50:31] [INFO] received Windows console close event; shutting log-core down
[13:01:29] [INFO] received Windows console close event; shutting log-core down
[13:18:23] [INFO] received Windows console close event; shutting log-core down
[13:18:42] [INFO] received Windows console close event; shutting log-core down
[13:26:29] [INFO] received Windows console close event; shutting log-core down
[13:31:56] [INFO] received Windows console close event; shutting log-core down
[13:33:05] [INFO] received Windows console close event; shutting log-core down
[13:53:34] [INFO] received Windows console close event; shutting log-core down
[13:53:43] [INFO] received Windows console close event; shutting log-core down
[13:53:54] [INFO] received Windows console close event; shutting log-core down
[13:53:59] [INFO] received Windows console close event; shutting log-core down
[13:54:42] [INFO] received Windows console close event; shutting log-core down
[13:54:59] [INFO] received Windows console close event; shutting log-core down
[14:06:25] [INFO] received Windows console close event; shutting log-core down
[14:13:26] [INFO] received Windows console close event; shutting log-core down
[14:29:28] [INFO] received Windows console close event; shutting log-core down
[14:31:47] [INFO] received Windows console close event; shutting log-core down
[14:36:24] [INFO] received Windows console close event; shutting log-core down
[14:40:03] [INFO] received Windows console close event; shutting log-core down
[15:01:15] [INFO] received Windows console close event; shutting log-core down
[15:17:27] [INFO] received Windows console close event; shutting log-core down
[15:39:14] [INFO] received Windows console close event; shutting log-core down
[15:47:40] [INFO] received Windows console close event; shutting log-core down
[15:51:48] [INFO] received Windows console close event; shutting log-core down
[16:32:06] [INFO] received Windows console close event; shutting log-core down
[17:03:23] [INFO] received Windows console close event; shutting log-core down
[17:11:50] [INFO] received Windows console close event; shutting log-core down
[17:16:22] [INFO] received Windows console close event; shutting log-core down
[17:33:01] [INFO] received Windows console close event; shutting log-core down
[17:47:59] [INFO] received Windows console close event; shutting log-core down
[21:18:12] [INFO] received Windows console close event; shutting log-core down
[23:11:35] [INFO] received Windows console close event; shutting log-core down
[00:48:35] [INFO] received Windows console close event; shutting log-core down
[00:52:38] [INFO] received Windows console close event; shutting log-core down
[00:55:16] [INFO] received Windows console close event; shutting log-core down
[00:57:48] [INFO] received Windows console close event; shutting log-core down
[01:00:00] [INFO] received Windows console close event; shutting log-core down
[01:01:02] [INFO] received Windows console close event; shutting log-core down
[01:01:38] [INFO] received Windows console close event; shutting log-core down
[01:03:04] [INFO] received Windows console close event; shutting log-core down
[01:06:21] [INFO] received Windows console close event; shutting log-core down
[01:21:35] [INFO] received Windows console close event; shutting log-core down
[01:32:39] [INFO] received Windows console close event; shutting log-core down
[01:32:51] [INFO] received Windows console close event; shutting log-core down
[02:53:24] [INFO] received Windows console close event; shutting log-core down
[02:55:07] [INFO] received Windows console close event; shutting log-core down
[02:55:59] [INFO] received Windows console close event; shutting log-core down
[02:58:29] [INFO] received Windows console close event; shutting log-core down
[13:23:36] [INFO] received Windows console close event; shutting log-core down
[13:35:42] [INFO] received Windows console close event; shutting log-core down
[13:42:33] [INFO] received Windows console close event; shutting log-core down
[13:43:24] [INFO] received Windows console close event; shutting log-core down
[13:55:21] [INFO] received Windows console close event; shutting log-core down
[13:57:49] [INFO] received Windows console close event; shutting log-core down
[14:07:06] [INFO] received Windows console close event; shutting log-core down
[14:23:11] [INFO] received Windows console close event; shutting log-core down
[14:32:58] [INFO] received Windows console close event; shutting log-core down
[14:34:52] [INFO] received Windows console close event; shutting log-core down
[15:56:10] [INFO] received Windows console close event; shutting log-core down
[15:56:59] [INFO] received Windows console close event; shutting log-core down
[15:59:04] [INFO] received Windows console close event; shutting log-core down
[16:03:44] [INFO] received Windows console close event; shutting log-core down
[16:23:49] [INFO] received Windows console close event; shutting log-core down
[16:26:04] [INFO] received Windows console close event; shutting log-core down
[16:27:12] [INFO] received Windows console close event; shutting log-core down
[16:28:21] [INFO] received Windows console close event; shutting log-core down
[16:32:13] [INFO] received Windows console close event; shutting log-core down
[16:36:28] [INFO] received Windows console close event; shutting log-core down
[16:37:19] [INFO] received Windows console close event; shutting log-core down
[21:33:10] [INFO] received Windows console close event; shutting log-core down
[21:33:38] [INFO] received Windows console close event; shutting log-core down
[21:38:12] [INFO] received Windows console close event; shutting log-core down
[21:46:11] [INFO] received Windows console close event; shutting log-core down
[21:46:27] [INFO] received Windows console close event; shutting log-core down
[21:48:42] [INFO] received Windows console close event; shutting log-core down
[21:53:15] [INFO] received Windows console close event; shutting log-core down
[21:55:21] [INFO] received Windows console close event; shutting log-core down
[21:57:31] [INFO] received Windows console close event; shutting log-core down
[23:50:34] [INFO] received Windows console close event; shutting log-core down
[23:51:56] [INFO] received Windows console close event; shutting log-core down
[00:12:10] [INFO] received Windows console close event; shutting log-core down
[00:14:38] [INFO] received Windows console close event; shutting log-core down
[00:24:19] [INFO] received Windows console close event; shutting log-core down
[00:25:35] [INFO] received Windows console close event; shutting log-core down
[00:30:42] [INFO] received Windows console close event; shutting log-core down
[00:31:30] [INFO] received Windows console close event; shutting log-core down
[00:36:23] [INFO] received Windows console close event; shutting log-core down
[00:40:12] [INFO] received Windows console close event; shutting log-core down
[00:43:20] [INFO] received Windows console close event; shutting log-core down
[00:44:59] [INFO] received Windows console close event; shutting log-core down
[00:45:36] [INFO] received Windows console close event; shutting log-core down
[00:47:45] [INFO] received Windows console close event; shutting log-core down
[01:04:41] [INFO] received Windows console close event; shutting log-core down
[02:58:59] [INFO] received Windows console close event; shutting log-core down
[12:36:49] [INFO] received Windows console close event; shutting log-core down
[12:38:23] [INFO] received Windows console close event; shutting log-core down
[12:38:40] [INFO] received Windows console close event; shutting log-core down
[12:39:48] [INFO] received Windows console close event; shutting log-core down
[12:40:35] [INFO] received Windows console close event; shutting log-core down
[12:42:27] [INFO] received Windows console close event; shutting log-core down
[12:48:58] [INFO] received Windows console close event; shutting log-core down
[12:55:22] [INFO] received Windows console close event; shutting log-core down
[12:56:09] [INFO] received Windows console close event; shutting log-core down
[12:57:14] [INFO] received Windows console close event; shutting log-core down
[12:57:48] [INFO] received Windows console close event; shutting log-core down
[13:02:01] [INFO] received Windows console close event; shutting log-core down
[13:23:35] [INFO] received Windows console close event; shutting log-core down
[13:30:02] [INFO] received Windows console close event; shutting log-core down
[13:31:29] [INFO] received Windows console close event; shutting log-core down
[13:36:50] [INFO] received Windows console close event; shutting log-core down
[17:33:55] [INFO] received Windows console close event; shutting log-core down
[17:39:50] [INFO] received Windows console close event; shutting log-core down
[17:43:12] [INFO] received Windows console close event; shutting log-core down
[17:43:56] [INFO] received Windows console close event; shutting log-core down
